Financial Summary,Appropriated,Adjustment,Allocation,agency
Interstate Environmental Commission,"44,937","-44,937",0,DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
New England Interstate Water Pollution Commission,"26,554","-26,554",0,DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Northeast Interstate Forest Fire Compact,"3,082",0,"3,082",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Connecticut River Valley Flood Control Commission,"30,295","-30,295",0,DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Thames River Valley Flood Control Commission,"45,151","-45,151",0,DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
TOTAL-General Fund,"63,869,057","-7,629,817","56,239,240",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
SPECIAL TRANSPORTATION FUND,,,,DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Personal Services,"2,060,488","-96,257","1,964,231",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Other Expenses,"738,920","-82,798","656,122",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
TOTAL-Special Transportation Fund,"2,799,408","-179,055","2,620,353",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
CONSUMER COUNSEL/PUBLIC UTILITY FUND,,,,DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Personal Services,"12,110,378","-275,555","11,834,823",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Other Expenses,"1,479,367",0,"1,479,367",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Equipment,"19,500",0,"19,500",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Fringe Benefits,"9,688,302","-220,444","9,467,858",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Indirect Overhead,"639,720","-639,620",100,DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
TOTAL-Consumer Counsel/Public Utility Fund,"23,937,267","-1,135,619","22,801,648",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
TOTAL - ALL FUNDS,"90,605,732","-8,944,491","81,661,241",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
GENERAL FUND,,,,COUNCIL ON ENVIRONMENTAL QUALITY
Personal Services,"171,781","1,409","173,190",COUNCIL ON ENVIRONMENTAL QUALITY
Other Expenses,632,-19,613,COUNCIL ON ENVIRONMENTAL QUALITY
TOTAL-General Fund,"172,413","1,390","173,803",COUNCIL ON ENVIRONMENTAL QUALITY
TOTAL - ALL FUNDS,"172,413","1,390","173,803",COUNCIL ON ENVIRONMENTAL QUALITY
GENERAL FUND,,,,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Personal Services,"7,792,889","-767,572","7,025,317",DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Other Expenses,"543,644","-93,491","450,153",DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Statewide Marketing,"6,500,000","-6,500,000",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Small Business Incubator Program,"310,810","-310,810",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Hartford Urban Arts Grant,"358,386","-358,386",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
New Britain Arts Council,"58,230","-58,230",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Main Street Initiatives,"138,278","-138,278",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Office of Military Affairs,"193,376","-82,376","111,000",DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Hydrogen/Fuel Cell Economy,"150,254","-150,254",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
CCAT-CT Manufacturing Supply Chain,"715,634","-715,634",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Capital Region Development Authority,"6,413,253","-264,132","6,149,121",DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Neighborhood Music School,"114,921","-114,921",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Nutmeg Games,"58,244","-58,244",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Discovery Museum,"291,141","-291,141",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
National Theatre of the Deaf,"116,456","-116,456",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
CONNSTEP,"447,275","-56,804","390,471",DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Development Research and Economic Assistance,"112,591","-112,591",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Connecticut Science Center,"492,810","-492,810",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
CT Flagship Producing Theaters Grant,"384,382","-384,382",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Women's Business Center,"358,445","-358,445",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Performing Arts Centers,"1,164,559","-1,164,559",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Performing Theaters Grant,"453,586","-453,586",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Arts Commission,"1,543,606","-1,543,606",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Art Museum Consortium,"424,842","-424,842",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
CT Invention Convention,"17,924","-17,924",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Litchfield Jazz Festival,"42,560","-42,560",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Connecticut River Museum,"22,384","-22,384",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Arte Inc.,"22,384","-22,384",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
CT Virtuosi Orchestra,"22,384","-22,384",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Barnum Museum,"22,384","-22,384",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Greater Hartford Arts Council,"81,739","-81,739",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Stepping Stones Museum for Children,"34,053","-34,053",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Maritime Center Authority,"449,079","-449,079",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Tourism Districts,"1,133,345","-1,133,345",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Amistad Committee for the Freedom Trail,"36,414","-36,414",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Amistad Vessel,"291,140","-291,140",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
New Haven Festival of Arts and Ideas,"612,926","-612,926",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
,,,,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
B-40,,,,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
,,,,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
New Haven Arts Council,"72,786","-72,786",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Beardsley Zoo,"301,469","-301,469",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Mystic Aquarium,"476,719","-476,719",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Quinebaug Tourism,"31,931","-31,931",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Northwestern Tourism,"31,931","-31,931",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Eastern Tourism,"31,931","-31,931",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Central Tourism,"31,931","-31,931",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Twain/Stowe Homes,"89,591","-89,591",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
Cultural Alliance of Fairfield,"72,786","-72,786",0,DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
TOTAL-General Fund,"33,067,403","-18,941,341","14,126,062",DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
TOTAL - ALL FUNDS,"33,067,403","-18,941,341","14,126,062",DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT
GENERAL FUND,,,,DEPARTMENT OF HOUSING
Personal Services,"2,003,013","-150,000","1,853,013",DEPARTMENT OF HOUSING
Other Expenses,"180,052","-27,007","153,045",DEPARTMENT OF HOUSING
Elderly Rental Registry and Counselors,"1,045,889","-10,458","1,035,431",DEPARTMENT OF HOUSING
Subsidized Assisted Living Demonstration,"2,181,051","144,319","2,325,370",DEPARTMENT OF HOUSING
Congregate Facilities Operation Costs,"7,359,331","-389,937","6,969,394",DEPARTMENT OF HOUSING
Housing Assistance and Counseling Program,"366,503","-366,503",0,DEPARTMENT OF HOUSING
Elderly Congregate Rent Subsidy,"2,002,085","-20,020","1,982,065",DEPARTMENT OF HOUSING
Housing/Homeless Services,"66,995,503","-1,221,406","65,774,097",DEPARTMENT OF HOUSING
Tax Abatement,"1,078,993","-1,078,993",0,DEPARTMENT OF HOUSING
Housing/Homeless Services  - Municipality,"592,893","-35,276","557,617",DEPARTMENT OF HOUSING
TOTAL-General Fund,"83,805,313","-3,155,281","80,650,032",DEPARTMENT OF HOUSING
BANKING FUND,,,,DEPARTMENT OF HOUSING
Fair Housing,"670,000","-67,000","603,000",DEPARTMENT OF HOUSING
TOTAL-Banking Fund,"670,000","-67,000","603,000",DEPARTMENT OF HOUSING
TOTAL - ALL FUNDS,"84,475,313","-3,222,281","81,253,032",DEPARTMENT OF HOUSING
GENERAL FUND,,,,AGRICULTURAL EXPERIMENT STATION
Personal Services,"5,888,047","-423,085","5,464,962",AGRICULTURAL EXPERIMENT STATION
Other Expenses,"779,858","130,702","910,560",AGRICULTURAL EXPERIMENT STATION
Equipment,"8,238","-8,238",0,AGRICULTURAL EXPERIMENT STATION
Mosquito Control,"446,779","-4,467","442,312",AGRICULTURAL EXPERIMENT STATION
Wildlife Disease Prevention,"89,724","2,977","92,701",AGRICULTURAL EXPERIMENT STATION
TOTAL-General Fund,"7,212,646","-302,111","6,910,535",AGRICULTURAL EXPERIMENT STATION
TOTAL - ALL FUNDS,"7,212,646","-302,111","6,910,535",AGRICULTURAL EXPERIMENT STATION
GENERAL FUND,,,,DEPARTMENT OF PUBLIC HEALTH
Personal Services,"35,367,382","-17,339","35,350,043",DEPARTMENT OF PUBLIC HEALTH
Other Expenses,"6,741,702","307,851","7,049,553",DEPARTMENT OF PUBLIC HEALTH
Maternal Mortality Review,1,-1,0,DEPARTMENT OF PUBLIC HEALTH
Community Health Services,"2,008,515","748,728","2,757,243",DEPARTMENT OF PUBLIC HEALTH
Rape Crisis,"558,104","-72,135","485,969",DEPARTMENT OF PUBLIC HEALTH
Local and District Departments of Health,"4,083,916","555,167","4,639,083",DEPARTMENT OF PUBLIC HEALTH
School Based Health Clinics,"11,280,633","-2,880,633","8,400,000",DEPARTMENT OF PUBLIC HEALTH
TOTAL-General Fund,"60,040,253","-1,358,362","58,681,891",DEPARTMENT OF PUBLIC HEALTH
INSURANCE FUND,,,,DEPARTMENT OF PUBLIC HEALTH
Needle and Syringe Exchange Program,"459,416",0,"459,416",DEPARTMENT OF PUBLIC HEALTH
AIDS Services,"4,975,686",0,"4,975,686",DEPARTMENT OF PUBLIC HEALTH
Breast and Cervical Cancer Detection and Treatment,"2,150,565",0,"2,150,565",DEPARTMENT OF PUBLIC HEALTH
Immunization Services,"34,000,718","1,764,133","35,764,851",DEPARTMENT OF PUBLIC HEALTH
X-Ray Screening and Tuberculosis Care,"1,115,148","-150,000","965,148",DEPARTMENT OF PUBLIC HEALTH
Venereal Disease Control,"197,171",0,"197,171",DEPARTMENT OF PUBLIC HEALTH
TOTAL-Insurance Fund,"42,898,704","1,614,133","44,512,837",DEPARTMENT OF PUBLIC HEALTH
TOTAL - ALL FUNDS,"102,938,957","255,771","103,194,728",DEPARTMENT OF PUBLIC HEALTH
GENERAL FUND,,,,OFFICE OF THE CHIEF MEDICAL EXAMINER
Personal Services,"4,601,690","135,119","4,736,809",OFFICE OF THE CHIEF MEDICAL EXAMINER
Other Expenses,"1,263,167","172,369","1,435,536",OFFICE OF THE CHIEF MEDICAL EXAMINER
Equipment,"16,824","9,576","26,400",OFFICE OF THE CHIEF MEDICAL EXAMINER
Medicolegal Investigations,"22,835",-685,"22,150",OFFICE OF THE CHIEF MEDICAL EXAMINER
TOTAL-General Fund,"5,904,516","316,379","6,220,895",OFFICE OF THE CHIEF MEDICAL EXAMINER
TOTAL - ALL FUNDS,"5,904,516","316,379","6,220,895",OFFICE OF THE CHIEF MEDICAL EXAMINER
GENERAL FUND,,,,DEPARTMENT OF DEVELOPMENTAL SERVICES
Personal Services,"214,679,415","-4,532,957","210,146,458",DEPARTMENT OF DEVELOPMENTAL SERVICES
Other Expenses,"17,335,354","-1,194,563","16,140,791",DEPARTMENT OF DEVELOPMENTAL SERVICES
Family Support Grants,"3,738,222","-575,685","3,162,537",DEPARTMENT OF DEVELOPMENTAL SERVICES
Clinical Services,"2,630,408","-235,535","2,394,873",DEPARTMENT OF DEVELOPMENTAL SERVICES
Workers' Compensation Claims,"14,508,429","-685,253","13,823,176",DEPARTMENT OF DEVELOPMENTAL SERVICES
Behavioral Services Program,"25,303,421","-2,824,925","22,478,496",DEPARTMENT OF DEVELOPMENTAL SERVICES
Supplemental Payments for Medical Services,"4,262,613","-501,188","3,761,425",DEPARTMENT OF DEVELOPMENTAL SERVICES
Rent Subsidy Program,"5,030,212","-638,293","4,391,919",DEPARTMENT OF DEVELOPMENTAL SERVICES
Employment Opportunities and Day Services,"237,650,362","-24,560,986","213,089,376",DEPARTMENT OF DEVELOPMENTAL SERVICES
TOTAL-General Fund,"525,138,436","-35,749,385","489,389,051",DEPARTMENT OF DEVELOPMENTAL SERVICES
TOTAL - ALL FUNDS,"525,138,436","-35,749,385","489,389,051",DEPARTMENT OF DEVELOPMENTAL SERVICES
GENERAL FUND,,,,DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Personal Services,"186,945,340","-1,869,453","185,075,887",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Other Expenses,"25,130,571","-980,749","24,149,822",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Housing Supports and Services,"23,989,361","-3,399,035","20,590,326",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Managed Service System,"58,186,901","-6,593,764","51,593,137",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Legal Services,"921,947","-415,948","505,999",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Connecticut Mental Health Center,"8,140,204","-1,457,204","6,683,000",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Professional Services,"10,636,632","564,065","11,200,697",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
General Assistance Managed Care,"41,270,499","-3,820,211","37,450,288",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Workers' Compensation Claims,"10,752,101","653,411","11,405,512",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Nursing Home Screening,"547,757","88,595","636,352",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Young Adult Services,"80,902,861","-9,067,132","71,835,729",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
TBI Community Services,"9,611,291","-1,546,752","8,064,539",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Jail Diversion,"4,260,411","-436,757","3,823,654",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Behavioral Health Medications,"5,785,488","935,266","6,720,754",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Prison Overcrowding,"5,860,963","-631,939","5,229,024",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Medicaid Adult Rehabilitation Option,"4,401,704","-132,051","4,269,653",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Discharge and Diversion Services,"25,346,328","-3,211,668","22,134,660",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Home and Community Based Services,"24,021,880","-3,189,741","20,832,139",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Persistent Violent Felony Offenders Act,"625,145","-79,393","545,752",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Nursing Home Contract,"430,879","-12,926","417,953",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Pre-Trial Account,"639,538","-639,538",0,DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Grants for Substance Abuse Services,"20,967,047","-4,911,463","16,055,584",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Grants for Mental Health Services,"66,738,020","-7,800,650","58,937,370",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Employment Opportunities,"9,460,957","-1,449,324","8,011,633",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
TOTAL-General Fund,"625,573,825","-49,404,361","576,169,464",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
INSURANCE FUND,,,,DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
Managed Service System,"408,924",0,"408,924",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
TOTAL-Insurance Fund,"408,924",0,"408,924",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
TOTAL - ALL FUNDS,"625,982,749","-49,404,361","576,578,388",DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES
GENERAL FUND,,,,PSYCHIATRIC SECURITY REVIEW BOARD
Personal Services,"266,610","4,834","271,444",PSYCHIATRIC SECURITY REVIEW BOARD
Other Expenses,"27,203",-816,"26,387",PSYCHIATRIC SECURITY REVIEW BOARD
TOTAL-General Fund,"293,813","4,018","297,831",PSYCHIATRIC SECURITY REVIEW BOARD
TOTAL - ALL FUNDS,"293,813","4,018","297,831",PSYCHIATRIC SECURITY REVIEW BOARD
SPECIAL TRANSPORTATION FUND,,,,DEPARTMENT OF TRANSPORTATION
Personal Services,"177,091,980","857,581","177,949,561",DEPARTMENT OF TRANSPORTATION
Other Expenses,"52,314,223","1,336,400","53,650,623",DEPARTMENT OF TRANSPORTATION
Equipment,"1,341,329","33,000","1,374,329",DEPARTMENT OF TRANSPORTATION
Minor Capital Projects,"449,639",0,"449,639",DEPARTMENT OF TRANSPORTATION
Highway Planning And Research,"3,060,131",0,"3,060,131",DEPARTMENT OF TRANSPORTATION
Rail Operations,"166,249,813","7,120,888","173,370,701",DEPARTMENT OF TRANSPORTATION
Bus Operations,"154,842,551","3,010,148","157,852,699",DEPARTMENT OF TRANSPORTATION
ADA Para-transit Program,"37,041,190","998,256","38,039,446",DEPARTMENT OF TRANSPORTATION
Non-ADA Dial-A-Ride Program,"576,361","-576,361",0,DEPARTMENT OF TRANSPORTATION
Pay-As-You-Go Transportation Projects,"14,589,106","-959,337","13,629,769",DEPARTMENT OF TRANSPORTATION
Port Authority,"400,000",0,"400,000",DEPARTMENT OF TRANSPORTATION
Airport Operations,"3,750,000",0,"3,750,000",DEPARTMENT OF TRANSPORTATION
TOTAL-Special Transportation Fund,"611,706,323","11,820,575","623,526,898",DEPARTMENT OF TRANSPORTATION
TOTAL - ALL FUNDS,"611,706,323","11,820,575","623,526,898",DEPARTMENT OF TRANSPORTATION
GENERAL FUND,,,,DEPARTMENT OF SOCIAL SERVICES
Personal Services,"115,246,776","5,237,533","120,484,309",DEPARTMENT OF SOCIAL SERVICES
Other Expenses,"144,502,439","-22,399,664","122,102,775",DEPARTMENT OF SOCIAL SERVICES
HUSKY Performance Monitoring,"158,143","-158,143",0,DEPARTMENT OF SOCIAL SERVICES
Genetic Tests in Paternity Actions,"84,439","-2,533","81,906",DEPARTMENT OF SOCIAL SERVICES
State-Funded Supplemental Nutrition Assistance Program,"430,926","-369,044","61,882",DEPARTMENT OF SOCIAL SERVICES
HUSKY B Program,"4,350,000","710,000","5,060,000",DEPARTMENT OF SOCIAL SERVICES
Medicaid,"2,447,241,261","71,078,739","2,518,320,000",DEPARTMENT OF SOCIAL SERVICES
Old Age Assistance,"38,833,056","58,623","38,891,679",DEPARTMENT OF SOCIAL SERVICES
Aid To The Blind,"627,276","-44,561","582,715",DEPARTMENT OF SOCIAL SERVICES
Aid To The Disabled,"61,941,968","-491,405","61,450,563",DEPARTMENT OF SOCIAL SERVICES
Temporary Family Assistance,"89,936,233","-14,804,521","75,131,712",DEPARTMENT OF SOCIAL SERVICES
Emergency Assistance,1,0,1,DEPARTMENT OF SOCIAL SERVICES
Food Stamp Training Expenses,"10,136","-4,237","5,899",DEPARTMENT OF SOCIAL SERVICES
DMHAS-Disproportionate Share,"108,935,000",0,"108,935,000",DEPARTMENT OF SOCIAL SERVICES
Connecticut Home Care Program,"40,190,000","-5,780,000","34,410,000",DEPARTMENT OF SOCIAL SERVICES
Human Resource Development-Hispanic Programs,"798,748","-688,521","110,227",DEPARTMENT OF SOCIAL SERVICES
Community Residential Services,"536,616,053","-14,975,443","521,640,610",DEPARTMENT OF SOCIAL SERVICES
Protective Services for the Elderly,"478,300","-478,300",0,DEPARTMENT OF SOCIAL SERVICES
Safety Net Services,"2,108,684","-666,660","1,442,024",DEPARTMENT OF SOCIAL SERVICES
Refunds Of Collections,"97,628","-2,929","94,699",DEPARTMENT OF SOCIAL SERVICES
Services for Persons With Disabilities,"477,130","-134,859","342,271",DEPARTMENT OF SOCIAL SERVICES
Nutrition Assistance,"400,911","-147,287","253,624",DEPARTMENT OF SOCIAL SERVICES
State Administered General Assistance,"22,816,579","-1,885,022","20,931,557",DEPARTMENT OF SOCIAL SERVICES
Connecticut Children's Medical Center,"13,048,630","-3,555,752","9,492,878",DEPARTMENT OF SOCIAL SERVICES
Community Services,"1,004,208","-732,473","271,735",DEPARTMENT OF SOCIAL SERVICES
Human Service Infrastructure Community Action Program,"2,736,957","-1,301,236","1,435,721",DEPARTMENT OF SOCIAL SERVICES
Teen Pregnancy Prevention,"1,456,227","-749,957","706,270",DEPARTMENT OF SOCIAL SERVICES
Family Programs - TANF,"362,927","-310,121","52,806",DEPARTMENT OF SOCIAL SERVICES
Domestic Violence Shelters,"5,158,570","-154,756","5,003,814",DEPARTMENT OF SOCIAL SERVICES
Hospital Supplemental Payments,"40,042,700","-40,042,700",0,DEPARTMENT OF SOCIAL SERVICES
Human Resource Development-Hispanic Programs - Municipality,"4,719","-4,032",687,DEPARTMENT OF SOCIAL SERVICES
Teen Pregnancy Prevention - Municipality,"114,876","-59,161","55,715",DEPARTMENT OF SOCIAL SERVICES
Community Services - Municipality,"70,742","-70,742",0,DEPARTMENT OF SOCIAL SERVICES
TOTAL-General Fund,"3,680,282,243","-32,929,164","3,647,353,079",DEPARTMENT OF SOCIAL SERVICES
SPECIAL TRANSPORTATION FUND,,,,DEPARTMENT OF SOCIAL SERVICES
Family Programs - TANF,"2,370,629",0,"2,370,629",DEPARTMENT OF SOCIAL SERVICES
TOTAL-Special Transportation Fund,"2,370,629",0,"2,370,629",DEPARTMENT OF SOCIAL SERVICES
,,,,DEPARTMENT OF SOCIAL SERVICES
B-53,,,,DEPARTMENT OF SOCIAL SERVICES
,,,,DEPARTMENT OF SOCIAL SERVICES
TOTAL - ALL FUNDS,"3,682,652,872","-32,929,164","3,649,723,708",DEPARTMENT OF SOCIAL SERVICES
GENERAL FUND,,,,STATE DEPARTMENT ON AGING
Personal Services,"2,281,378","-233,759","2,047,619",STATE DEPARTMENT ON AGING
Other Expenses,"123,213","-9,856","113,357",STATE DEPARTMENT ON AGING
Programs for Senior Citizens,"5,895,383","-670,961","5,224,422",STATE DEPARTMENT ON AGING
TOTAL-General Fund,"8,299,974","-914,576","7,385,398",STATE DEPARTMENT ON AGING
INSURANCE FUND,,,,STATE DEPARTMENT ON AGING
Fall Prevention,"376,023",0,"376,023",STATE DEPARTMENT ON AGING
TOTAL-Insurance Fund,"376,023",0,"376,023",STATE DEPARTMENT ON AGING
TOTAL - ALL FUNDS,"8,675,997","-914,576","7,761,421",STATE DEPARTMENT ON AGING
GENERAL FUND,,,,DEPARTMENT OF REHABILITATION SERVICES
Personal Services,"4,758,165","1,047,453","5,805,618",DEPARTMENT OF REHABILITATION SERVICES
Other Expenses,"1,447,495","-102,133","1,345,362",DEPARTMENT OF REHABILITATION SERVICES
Part-Time Interpreters,"1,423","-1,423",0,DEPARTMENT OF REHABILITATION SERVICES
Educational Aid for Blind and Visually Handicapped Children,"4,040,237","-2,155,319","1,884,918",DEPARTMENT OF REHABILITATION SERVICES
Employment Opportunities - Blind & Disabled,"1,032,521","-554,128","478,393",DEPARTMENT OF REHABILITATION SERVICES
Vocational Rehabilitation - Disabled,"7,354,087","-441,244","6,912,843",DEPARTMENT OF REHABILITATION SERVICES
Supplementary Relief and Services,"88,618","-47,432","41,186",DEPARTMENT OF REHABILITATION SERVICES
Special Training for the Deaf Blind,"268,003","-178,377","89,626",DEPARTMENT OF REHABILITATION SERVICES
Connecticut Radio Information Service,"50,724","-50,724",0,DEPARTMENT OF REHABILITATION SERVICES
Independent Living Centers,"372,967","-372,967",0,DEPARTMENT OF REHABILITATION SERVICES
TOTAL-General Fund,"19,414,240","-2,856,294","16,557,946",DEPARTMENT OF REHABILITATION SERVICES
WORKERS' COMPENSATION FUND,,,,DEPARTMENT OF REHABILITATION SERVICES
Personal Services,"534,113","-20,000","514,113",DEPARTMENT OF REHABILITATION SERVICES
Other Expenses,"503,822","-450,000","53,822",DEPARTMENT OF REHABILITATION SERVICES
Rehabilitative Services,"1,261,913","-150,000","1,111,913",DEPARTMENT OF REHABILITATION SERVICES
Fringe Benefits,"410,485","20,000","430,485",DEPARTMENT OF REHABILITATION SERVICES
TOTAL-Workers' Compensation Fund,"2,710,333","-600,000","2,110,333",DEPARTMENT OF REHABILITATION SERVICES
TOTAL - ALL FUNDS,"22,124,573","-3,456,294","18,668,279",DEPARTMENT OF REHABILITATION SERVICES
GENERAL FUND,,,,DEPARTMENT OF EDUCATION
Personal Services,"18,965,022","-1,646,502","17,318,520",DEPARTMENT OF EDUCATION
Other Expenses,"3,624,378","-573,656","3,050,722",DEPARTMENT OF EDUCATION
"Development of Mastery Exams Grades 4, 6, and 8","13,343,315","-3,567,464","9,775,851",DEPARTMENT OF EDUCATION
Primary Mental Health,"395,518","-39,552","355,966",DEPARTMENT OF EDUCATION
"Leadership, Education, Athletics in Partnership (LEAP)","625,045","-625,045",0,DEPARTMENT OF EDUCATION
Adult Education Action,"222,834","-17,826","205,008",DEPARTMENT OF EDUCATION
Connecticut Pre-Engineering Program,"225,758","-225,758",0,DEPARTMENT OF EDUCATION
Connecticut Writing Project,"63,360","-63,360",0,DEPARTMENT OF EDUCATION
Resource Equity Assessments,"149,310","-14,931","134,379",DEPARTMENT OF EDUCATION
Neighborhood Youth Centers,"1,048,664","-1,048,664",0,DEPARTMENT OF EDUCATION
Longitudinal Data Systems,"1,347,717","-134,772","1,212,945",DEPARTMENT OF EDUCATION
Sheff Settlement,"11,368,413","-341,052","11,027,361",DEPARTMENT OF EDUCATION
