CONSUMER COUNSEL/PUBLIC UTILITY FUND,,,
Personal Services,"1,488,306","-124,853","1,363,453"
Other Expenses,"502,907",0,"502,907"
Equipment,"2,200",0,"2,200"
Fringe Benefits,"1,221,728","-102,490","1,119,238"
Indirect Overhead,"66,419","-66,319",100
TOTAL-Consumer Counsel/Public Utility Fund,"3,281,560","-293,662","2,987,898"
TOTAL - ALL FUNDS,"3,281,560","-293,662","2,987,898"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Fund Indirect Overhead at Comptroller's Projected Amount,,,"-66,319"
• Reduce Funding for Vacant Positions,,,"-227,343"
,,,
B-28,,,
,,,
OFFICE OF THE HEALTHCARE ADVOCATE,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
INSURANCE FUND,,,
Personal Services,"2,488,457","-225,000","2,263,457"
Other Expenses,"2,691,767",0,"2,691,767"
Equipment,"15,000",0,"15,000"
Fringe Benefits,"2,256,227","-468,096","1,788,131"
Indirect Overhead,"142,055","-35,425","106,630"
TOTAL-Insurance Fund,"7,593,506","-728,521","6,864,985"
TOTAL - ALL FUNDS,"7,593,506","-728,521","6,864,985"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Rebase Funding for Personal Services,,,"-225,000"
Remove funding for two positions which are now federally funded.,,,
• Update Funding for Fringe Benefits,,,"-468,096"
Reflects an updated fringe benefit rate and reduces funding based on a revised salary base.,,,
• Update Indirect Cost,,,"-35,425"
,,,
B-29,,,
,,,
DEPARTMENT OF CONSUMER PROTECTION,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"14,549,545","-2,051,218","12,498,327"
Other Expenses,"1,297,487","-482,125","815,362"
TOTAL-General Fund,"15,847,032","-2,533,343","13,313,689"
TOTAL - ALL FUNDS,"15,847,032","-2,533,343","13,313,689"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Reduce Other Expenses Funding to Align with Available Resources,,,"-378,323"
• Annualize FY 2017 Holdbacks and Rescissions,,,"-613,036"
• Adjust Personal Services Funding to Reflect FY 2017 Expenditure Levels,,,"-1,541,984"
,,,
B-30,,,
,,,
LABOR DEPARTMENT,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"8,836,099","-288,360","8,547,739"
Other Expenses,"1,050,851","-85,508","965,343"
CETC Workforce,"658,845","-422,196","236,649"
Workforce Investment Act,"34,149,177","2,609,299","36,758,476"
Job Funnels Projects,"197,379","-197,379",0
Connecticut's Youth Employment Program,"5,225,000","-5,225,000",0
Jobs First Employment Services,"15,169,606","-1,400,178","13,769,428"
STRIDE,"438,033","-438,033",0
Apprenticeship Program,"502,842","-37,500","465,342"
Spanish-American Merchants Association,"423,184","-423,184",0
Connecticut Career Resource Network,"157,848","-42,740","115,108"
Incumbent Worker Training,"587,976","-587,976",0
STRIVE,"200,456","-200,456",0
Customized Services,"371,215","-371,215",0
Opportunities for Long Term Unemployed,"2,370,261","-2,370,261",0
Veterans’ Opportunity Pilot,"385,106","-31,553","353,553"
Second Chance Initiative,"1,330,750","-1,330,750",0
Cradle To Career,"198,000","-198,000",0
2Gen - TANF,"1,262,252","-1,262,252",0
ConnectiCorps,"125,458","-125,458",0
New Haven Jobs Funnel,"444,241","-444,241",0
TOTAL-General Fund,"74,084,579","-12,872,941","61,211,638"
BANKING FUND,,,
Opportunity Industrial Centers,"475,000",0,"475,000"
Individual Development Accounts,"190,000","-190,000",0
Customized Services,"950,000",0,"950,000"
TOTAL-Banking Fund,"1,615,000","-190,000","1,425,000"
WORKERS' COMPENSATION FUND,,,
Occupational Health Clinics,"687,148",0,"687,148"
TOTAL-Workers' Compensation Fund,"687,148",0,"687,148"
TOTAL - ALL FUNDS,"76,386,727","-13,062,941","63,323,786"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Increase Funding for Workforce Innovation and Opportunity Act (WIOA),,,"2,609,299"
"This adjustment  will increase funding for WIOA to $36,758,476 to reflect the increased federal grant award.",,,
• Eliminate Funding for Various Programs,,,"-11,354,279"
,,,
B-31,,,
,,,
"Funding for the following programs is eliminated: Cradle to Career, Individual Development Accounts, Spanish American Merchants Association, STRIVE, 2-",,,
"Generation Pilot Program, New Haven Jobs Funnel, Jobs Funnel, CT Youth Employment, STRIDE, Opportunities for the Long Term Unemployed, Incumbent",,,
"Worker Training, Connecticorps, and Second Chance Initiative.",,,
,,,
• Annualize FY 2017 Holdbacks and Rescissions,"-2,530,433",,
• Reduce Funding for Various Programs,"-1,637,528",,
"Funding is reduced for Jobs First Employment Services, CETC Workforce, CT Career Resource Network, Other Expenses and the Apprenticeship Program.",,,
• Adjust Funding to Reflect FY 2017 Expenditure Levels,"-150,000",,
,,,
B-32,,,
,,,
COMMISSION ON HUMAN RIGHTS AND OPPORTUNITIES,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"6,409,092","-599,545","5,809,547"
Other Expenses,"352,640","-68,211","284,429"
"Martin Luther King, Jr. Commission","6,161","-6,161",0
TOTAL-General Fund,"6,767,893","-673,917","6,093,976"
TOTAL - ALL FUNDS,"6,767,893","-673,917","6,093,976"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Annualize FY 2017 Holdbacks and Rescissions,,,"-563,248"
• Adjust Funding to Reflect FY 2017 Expenditure Levels,,,"-65,000"
• Reduce Funding for Other Expenses,,,"-40,000"
• Eliminate Funding for Martin Luther King Commission,,,"-5,669"
,,,
B-33,,,
,,,
OFFICE OF PROTECTION AND ADVOCACY FOR PERSONS WITH,,,
DISABILITIES,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"2,047,881","-2,047,881",0
Other Expenses,"178,760","-178,760",0
TOTAL-General Fund,"2,226,641","-2,226,641",0
TOTAL - ALL FUNDS,"2,226,641","-2,226,641",0
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Adjust Funding to Reflect the Privatization of the Protection and Advocacy System,,,"-1,217,463"
,"To align with the national trend of privately operated protection and advocacy agencies, and in accordance with Public Act 16-66, the Office of Protection and",,
,"Advocacy will be abolished effective July 1, 2017 and a new entity will be designated as the Connecticut protection and advocacy system.",,
,• Transfer Abuse and Neglect Responsibilities to the Department of Rehabilitation Services,,"-1,009,178"
Reflects the transfer of the abuse and neglect division to the Department of Rehabilitation Services as required under Public Act 16-66.,,,
,,,
B-34,,,
,,,
WORKERS' COMPENSATION COMMISSION,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
WORKERS' COMPENSATION FUND,,,
Personal Services,"10,240,361","-223,742","10,016,619"
Other Expenses,"3,819,747","-1,708,078","2,111,669"
Equipment,"41,000","-40,999",1
Fringe Benefits,"8,192,289","-172,300","8,019,989"
Indirect Overhead,"398,322","-106,685","291,637"
TOTAL-Workers' Compensation Fund,"22,691,719","-2,251,804","20,439,915"
TOTAL - ALL FUNDS,"22,691,719","-2,251,804","20,439,915"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Provide Funding for Commissioners' Salary Increases,,,"199,710"
• Provide Funding for Equipment,,,"45,000"
Funding is provided in FY 2018 for production scanners.,,,
• Adjust Funding for Capital Equipment,,,"-40,999"
• Fund Indirect Overhead at Comptroller's Projected Amount,,,"-106,685"
• Close Stamford District Office,,,"-210,096"
Eliminates funding for lease costs. Assumes staff will be reassigned to other district offices.,,,
• Adjust Funding for the eCourt Migration Project,,,"-502,212"
• Reduce Funding for Vacancies,,,"-595,752"
• Utilize Carryfoward to Offset Cost of eCourt Migration Project,,,"-1,040,770"
,,,
B-35,,,
,,,
DEPARTMENT OF AGRICULTURE,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"3,742,495","-241,762","3,500,733"
Other Expenses,"687,038","-77,626","609,412"
Senior Food Vouchers,"361,280","-361,280",0
Tuberculosis and Brucellosis Indemnity,100,-100,0
WIC Coupon Program for Fresh Produce,"173,132","-5,194","167,938"
TOTAL-General Fund,"4,964,045","-685,962","4,278,083"
REGIONAL MARKET OPERATION FUND,,,
Personal Services,"430,138",0,"430,138"
Other Expenses,"273,007",0,"273,007"
Fringe Benefits,"361,316",0,"361,316"
TOTAL-Regional Market Operation Fund,"1,064,461",0,"1,064,461"
TOTAL - ALL FUNDS,"6,028,506","-685,962","5,342,544"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Eliminate Funds for Senior Nutrition Program,,,"-350,442"
"This program is operated ""within available appropriations"".",,,
• Annualize FY 2017 Holdbacks,,,"-148,920"
,"To align budget growth with available resources, funding is reduced to reflect the continuation of allocated bottom-line lapses contained in Public Act 16-2 (May",,
Spec. Sess.).,,,
• Adjust Personal Services Funding to Reflect FY 2017 Expenditure Levels,,,"-129,488"
• Reduce Other Expenses Funding to Align with Available Resources,,,"-57,112"
,,,
B-36,,,
,,,
DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"28,697,939","-5,023,962","23,673,977"
Other Expenses,"2,957,606","-238,110","2,719,496"
Mosquito Control,"239,671","-51,092","188,579"
State Superfund Site Maintenance,"411,935","-12,358","399,577"
Laboratory Fees,"133,005","-57,005","76,000"
Dam Maintenance,"123,974","-1,239","122,735"
Emergency Spill Response,"6,006,921","-60,069","5,946,852"
Solid Waste Management,"3,164,792","-31,647","3,133,145"
Underground Storage Tank,"910,471","-270,556","639,915"
Clean Air,"3,965,552","-60,692","3,904,860"
Environmental Conservation,"8,261,232","-528,455","7,732,777"
Environmental Quality,"8,845,938","-1,147,693","7,698,245"
Greenways Account,2,-2,0
Interstate Environmental Commission,"44,937","-44,937",0
New England Interstate Water Pollution Commission,"26,554","-26,554",0
Northeast Interstate Forest Fire Compact,"3,082",0,"3,082"
Connecticut River Valley Flood Control Commission,"30,295","-30,295",0
Thames River Valley Flood Control Commission,"45,151","-45,151",0
TOTAL-General Fund,"63,869,057","-7,629,817","56,239,240"
SPECIAL TRANSPORTATION FUND,,,
Personal Services,"2,060,488","-96,257","1,964,231"
Other Expenses,"738,920","-82,798","656,122"
TOTAL-Special Transportation Fund,"2,799,408","-179,055","2,620,353"
CONSUMER COUNSEL/PUBLIC UTILITY FUND,,,
Personal Services,"12,110,378","-275,555","11,834,823"
Other Expenses,"1,479,367",0,"1,479,367"
Equipment,"19,500",0,"19,500"
Fringe Benefits,"9,688,302","-220,444","9,467,858"
Indirect Overhead,"639,720","-639,620",100
TOTAL-Consumer Counsel/Public Utility Fund,"23,937,267","-1,135,619","22,801,648"
TOTAL - ALL FUNDS,"90,605,732","-8,944,491","81,661,241"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Annualize FY 2017 Rescissions - Special Transportation Fund,,,"-36,946"
• Reduce Other Expenses Funding to Align with Available Resources - Special Transportation Fund,,,"-45,852"
• Adjust Personal Services Funding to Reflect FY 2017 Expenditure Levels - Special Transportation Fund,,,"-96,257"
,,,
B-37,,,
,,,
• Reduce Funding for Fish Hatcheries by 10%,"-162,900",,
• Reduce Other Expenses Funding to Align with Available Resources - General Fund,"-437,910",,
• Reduce Funding for Vacant Positions - Consumer Counsel and Public Utilities Control Fund,"-495,999",,
• Fund Indirect Overhead at Comptroller's Projected Amount,"-639,620",,
• Adjust Funding for Various Accounts,"-1,468,018",,
"Funding is reduced in Mosquito Control, Laboratory Fees, Underground Storage Tank, Clean Air, Environmental Conservation, Environmental Quality and",,,
"Greenways account to reflect current payroll and continued funding for various expenses including utilities, vehicles and waste collection.  In addition, the funding",,,
"is eliminated for Interstate Environmental Commission, New England Interstate Water Pollution Commission, Connecticut River Valley Flood Control and Thames",,,
River Valley Flood Control Commission.,,,
• Annualize FY 2017 Holdbacks and Rescissions,"-2,160,273",,
• Adjust Personal Services Funding to Reflect FY 2017 Expenditure Levels - General Fund,"-3,446,568",,
"This adjustment can be sustained without impacting park operations, which will continue consistent with FY 2017 levels, and without impacting revenue collections.",,,
,,,
B-38,,,
,,,
COUNCIL ON ENVIRONMENTAL QUALITY,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"171,781","1,409","173,190"
Other Expenses,632,-19,613
TOTAL-General Fund,"172,413","1,390","173,803"
TOTAL - ALL FUNDS,"172,413","1,390","173,803"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Provide Funding to Reflect Current Payroll,,,"3,126"
• Annualize FY 2017 Holdbacks,,,"-1,736"
,,,
B-39,,,
,,,
DEPARTMENT OF ECONOMIC AND COMMUNITY DEVELOPMENT,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"7,792,889","-767,572","7,025,317"
Other Expenses,"543,644","-93,491","450,153"
Statewide Marketing,"6,500,000","-6,500,000",0
Small Business Incubator Program,"310,810","-310,810",0
Hartford Urban Arts Grant,"358,386","-358,386",0
New Britain Arts Council,"58,230","-58,230",0
Main Street Initiatives,"138,278","-138,278",0
Office of Military Affairs,"193,376","-82,376","111,000"
Hydrogen/Fuel Cell Economy,"150,254","-150,254",0
CCAT-CT Manufacturing Supply Chain,"715,634","-715,634",0
Capital Region Development Authority,"6,413,253","-264,132","6,149,121"
Neighborhood Music School,"114,921","-114,921",0
Nutmeg Games,"58,244","-58,244",0
Discovery Museum,"291,141","-291,141",0
National Theatre of the Deaf,"116,456","-116,456",0
CONNSTEP,"447,275","-56,804","390,471"
Development Research and Economic Assistance,"112,591","-112,591",0
Connecticut Science Center,"492,810","-492,810",0
CT Flagship Producing Theaters Grant,"384,382","-384,382",0
Women's Business Center,"358,445","-358,445",0
Performing Arts Centers,"1,164,559","-1,164,559",0
Performing Theaters Grant,"453,586","-453,586",0
Arts Commission,"1,543,606","-1,543,606",0
Art Museum Consortium,"424,842","-424,842",0
CT Invention Convention,"17,924","-17,924",0
Litchfield Jazz Festival,"42,560","-42,560",0
Connecticut River Museum,"22,384","-22,384",0
Arte Inc.,"22,384","-22,384",0
CT Virtuosi Orchestra,"22,384","-22,384",0
Barnum Museum,"22,384","-22,384",0
Greater Hartford Arts Council,"81,739","-81,739",0
Stepping Stones Museum for Children,"34,053","-34,053",0
Maritime Center Authority,"449,079","-449,079",0
Tourism Districts,"1,133,345","-1,133,345",0
Amistad Committee for the Freedom Trail,"36,414","-36,414",0
Amistad Vessel,"291,140","-291,140",0
New Haven Festival of Arts and Ideas,"612,926","-612,926",0
,,,
B-40,,,
,,,
New Haven Arts Council,"72,786","-72,786",0
Beardsley Zoo,"301,469","-301,469",0
Mystic Aquarium,"476,719","-476,719",0
Quinebaug Tourism,"31,931","-31,931",0
Northwestern Tourism,"31,931","-31,931",0
Eastern Tourism,"31,931","-31,931",0
Central Tourism,"31,931","-31,931",0
Twain/Stowe Homes,"89,591","-89,591",0
Cultural Alliance of Fairfield,"72,786","-72,786",0
TOTAL-General Fund,"33,067,403","-18,941,341","14,126,062"
TOTAL - ALL FUNDS,"33,067,403","-18,941,341","14,126,062"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Eliminate Funding for Certain Programs,,,"-13,613,647"
,"Eliminates funding for Statewide Marketing, Arts Commission, Women's Business Center, CCAT Manufacturing Supply Chain, Main Street Initiatives, and",,
Tourism and Arts Grants.,,,
• Annualize Holdbacks and Rescissions,,,"-4,957,733"
• Reduce Funding for Certain Programs,,,"-369,961"
"Reduces funding for Other Expenses, Capitol Region Development Authority, CONNSTEP, and the Office of Military Affairs.",,,
,,,
B-41,,,
,,,
DEPARTMENT OF HOUSING,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"2,003,013","-150,000","1,853,013"
Other Expenses,"180,052","-27,007","153,045"
Elderly Rental Registry and Counselors,"1,045,889","-10,458","1,035,431"
Subsidized Assisted Living Demonstration,"2,181,051","144,319","2,325,370"
Congregate Facilities Operation Costs,"7,359,331","-389,937","6,969,394"
Housing Assistance and Counseling Program,"366,503","-366,503",0
Elderly Congregate Rent Subsidy,"2,002,085","-20,020","1,982,065"
Housing/Homeless Services,"66,995,503","-1,221,406","65,774,097"
Tax Abatement,"1,078,993","-1,078,993",0
Housing/Homeless Services  - Municipality,"592,893","-35,276","557,617"
TOTAL-General Fund,"83,805,313","-3,155,281","80,650,032"
BANKING FUND,,,
Fair Housing,"670,000","-67,000","603,000"
TOTAL-Banking Fund,"670,000","-67,000","603,000"
TOTAL - ALL FUNDS,"84,475,313","-3,222,281","81,253,032"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Annualize FY 2017 Money Follows the Person Rental Assistance Placements,,,"2,047,368"
• Provide Funding for Caseload Growth for Money Follows the Person,,,"1,779,951"
• Increase Funding for Subsidized Assisted Living Demonstration,,,"166,129"
• Annualize Funding for Congregate Program,,,"50,466"
• Annualize FY 2017 Holdbacks and Rescissions,,,"-2,241,634"
• Reduce Funding for Residences for Persons with AIDS,,,"-526,930"
• Reduce Funding to Align with Available Resources,,,"-3,857,953"
,Funding is reduced by 5% for Congregate Facilities Operation Costs and the Housing and Homeless Services accounts.,,
• Reduce Funding to Reflect Housing Assistance and Counseling Phase Out,,,"-366,503"
• Reduce Funding for Personal Services,,,"-129,970"
• Reduce Funding for Fair Housing by Ten Percent,,,"-67,000"
• Reduce Funding for the Security Deposit Guarantee Program,,,"-60,000"
• Reduce Funding for Other Expenses,,,"-16,205"
,,,
B-42,,,
,,,
AGRICULTURAL EXPERIMENT STATION,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"5,888,047","-423,085","5,464,962"
Other Expenses,"779,858","130,702","910,560"
Equipment,"8,238","-8,238",0
Mosquito Control,"446,779","-4,467","442,312"
Wildlife Disease Prevention,"89,724","2,977","92,701"
TOTAL-General Fund,"7,212,646","-302,111","6,910,535"
TOTAL - ALL FUNDS,"7,212,646","-302,111","6,910,535"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Provide Funds for Utility and Operating Costs of Laboratory Facilities,,,"138,500"
• Annualize Salary Costs  for Wildlife Disease Prevention Program,,,"3,874"
• Annualize FY 2017 Holdbacks,,,"-200,780"
,"To align budget growth with available resources, funding is reduced to reflect the continuation of allocated bottom-line lapses contained in Public Act 16-2 (May",,
Spec. Sess.).,,,
• Adjust Funding to Reflect FY 2017 Expenditure Levels,,,"-243,705"
,,,
B-43,,,
,,,
DEPARTMENT OF PUBLIC HEALTH,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"35,367,382","-17,339","35,350,043"
Other Expenses,"6,741,702","307,851","7,049,553"
Maternal Mortality Review,1,-1,0
Community Health Services,"2,008,515","748,728","2,757,243"
Rape Crisis,"558,104","-72,135","485,969"
Local and District Departments of Health,"4,083,916","555,167","4,639,083"
School Based Health Clinics,"11,280,633","-2,880,633","8,400,000"
TOTAL-General Fund,"60,040,253","-1,358,362","58,681,891"
INSURANCE FUND,,,
Needle and Syringe Exchange Program,"459,416",0,"459,416"
AIDS Services,"4,975,686",0,"4,975,686"
Breast and Cervical Cancer Detection and Treatment,"2,150,565",0,"2,150,565"
Immunization Services,"34,000,718","1,764,133","35,764,851"
X-Ray Screening and Tuberculosis Care,"1,115,148","-150,000","965,148"
Venereal Disease Control,"197,171",0,"197,171"
TOTAL-Insurance Fund,"42,898,704","1,614,133","44,512,837"
TOTAL - ALL FUNDS,"102,938,957","255,771","103,194,728"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Reallocate Support for Newborn Screening Program to General Fund,,,"2,343,899"
"In FY 2017, over $3.1 million from newborn screening fee receipts was made available through budget implementation language to partially offset DPH's costs of",,,
"operating the newborn screening program.  Pursuant to statute, only $500,000 will be available to the department from fee receipts in FY 2018.  Under this",,,
"provision, the program's remaining costs will be assumed by the General Fund.  Additionally, the commissioner will exercise discretionary authority granted under",,,
CGS Sec. 19a-55 to increase the fee to $110 to more appropriately reflect expenses associated with the state's comprehensive newborn screening program.,,,
,,,
• Reflect Anticipated Price Increases for Vaccines,"1,764,133",,
• Reallocate Health Programming from Biomedical Research Trust Fund,"1,474,250",,
Funding is restored at a reduced level for programming supported on a one-time basis through the Biomedical Research Trust Fund.   Funding is reduced by 10%,,,
"for regional lead treatment centers, and a case management and parenting program intended to address perinatal health disparities in Waterbury.  Funding is",,,
reduced by 25% for services for children with special health care needs. Support for state employee salaries is maintained.  Funding is eliminated for local lead,,,
"poisoning prevention and response activities. education and publicity programs targeting persons at risk for lead poisoning, a Sickle Cell Disease community",,,
"outreach and education program, child sexual abuse treatment centers, and pediatric and adult asthma programs.",,,
,,,
• Adjust Funding for Local Health Departments and Districts,"555,167",,
Reflects fully funding statutory per capita formula grants to full-time health departments and health districts.,,,
• Support Drinking Water Section in Response to Declining Federal Funds,"262,001",,
Funding is added to sustain the Drinking Water Section in response to a reduction in available federal funding.,,,
• Adjust Public Health Laboratory Maintenance Costs,"70,597",,
• Reduce Funding to Align with Available Resources,"-3,151,859",,
"Funding is reduced by 10% for the Rape Crisis account, regional newborn genetic treatment centers, and a contract with Planned Parenthood of Southern New",,,
"England,Inc.  Funding is reduced by 23% for School Based Health Clinics.  Funding is eliminated for Maternal Mortality Review and contracted health access",,,
programs.,,,
• Annualize FY 2017 Holdbacks and Rescissions,"-2,403,689",,
,,,
B-44,,,
,,,
• Eliminate Funding for Community Health Centers,"-358,728",,
• Adjust Funding to Reflect 2017 Expenditure Levels,"-300,000",,
"Reflects a $150,000 reduction to each of the Personal Services and the X-Ray Screening and Tuberculosis Care accounts.",,,
,,,
B-45,,,
,,,
OFFICE OF THE CHIEF MEDICAL EXAMINER,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"4,601,690","135,119","4,736,809"
Other Expenses,"1,263,167","172,369","1,435,536"
Equipment,"16,824","9,576","26,400"
Medicolegal Investigations,"22,835",-685,"22,150"
TOTAL-General Fund,"5,904,516","316,379","6,220,895"
TOTAL - ALL FUNDS,"5,904,516","316,379","6,220,895"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Provide Operating Costs for New Forensic Equipment,,,"10,000"
,The agency acquired a full body digital x-ray scanner.   These funds provide the ongoing operating costs for the annual service and maintenance for the scanner.,,
• Annualize FY 2017 Holdbacks,,,"-59,836"
• Annualize FY 2016 Deficiencies,,,"356,135"
"Provides $181,135 in Personal Services and $175,000 in Other Expenses.",,,
• Provide Funding for Equipment,,,"10,080"
,,,
B-46,,,
,,,
DEPARTMENT OF DEVELOPMENTAL SERVICES,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"214,679,415","-4,532,957","210,146,458"
Other Expenses,"17,335,354","-1,194,563","16,140,791"
Family Support Grants,"3,738,222","-575,685","3,162,537"
Clinical Services,"2,630,408","-235,535","2,394,873"
Workers' Compensation Claims,"14,508,429","-685,253","13,823,176"
Behavioral Services Program,"25,303,421","-2,824,925","22,478,496"
Supplemental Payments for Medical Services,"4,262,613","-501,188","3,761,425"
Rent Subsidy Program,"5,030,212","-638,293","4,391,919"
Employment Opportunities and Day Services,"237,650,362","-24,560,986","213,089,376"
TOTAL-General Fund,"525,138,436","-35,749,385","489,389,051"
TOTAL - ALL FUNDS,"525,138,436","-35,749,385","489,389,051"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Reduce Funding to Align with Available Resources,,,"-24,314,565"
"Funding is reduced by 10% for Employment and Day Services, Family Support Grants and Rent Subsidy.",,,
• Annualize FY 2017 Holdbacks and Rescissions,,,"-8,214,465"
• Adjust Funding to Reflect FY 2017 Expenditure Levels,,,"-3,980,256"
• Provide Employment and Day Services Funding for 93 New Age Outs,,,"759,901"
,,,
B-47,,,
,,,
DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"186,945,340","-1,869,453","185,075,887"
Other Expenses,"25,130,571","-980,749","24,149,822"
Housing Supports and Services,"23,989,361","-3,399,035","20,590,326"
Managed Service System,"58,186,901","-6,593,764","51,593,137"
Legal Services,"921,947","-415,948","505,999"
Connecticut Mental Health Center,"8,140,204","-1,457,204","6,683,000"
Professional Services,"10,636,632","564,065","11,200,697"
General Assistance Managed Care,"41,270,499","-3,820,211","37,450,288"
Workers' Compensation Claims,"10,752,101","653,411","11,405,512"
Nursing Home Screening,"547,757","88,595","636,352"
Young Adult Services,"80,902,861","-9,067,132","71,835,729"
TBI Community Services,"9,611,291","-1,546,752","8,064,539"
Jail Diversion,"4,260,411","-436,757","3,823,654"
Behavioral Health Medications,"5,785,488","935,266","6,720,754"
Prison Overcrowding,"5,860,963","-631,939","5,229,024"
Medicaid Adult Rehabilitation Option,"4,401,704","-132,051","4,269,653"
Discharge and Diversion Services,"25,346,328","-3,211,668","22,134,660"
Home and Community Based Services,"24,021,880","-3,189,741","20,832,139"
Persistent Violent Felony Offenders Act,"625,145","-79,393","545,752"
Nursing Home Contract,"430,879","-12,926","417,953"
Pre-Trial Account,"639,538","-639,538",0
Grants for Substance Abuse Services,"20,967,047","-4,911,463","16,055,584"
Grants for Mental Health Services,"66,738,020","-7,800,650","58,937,370"
Employment Opportunities,"9,460,957","-1,449,324","8,011,633"
TOTAL-General Fund,"625,573,825","-49,404,361","576,169,464"
INSURANCE FUND,,,
Managed Service System,"408,924",0,"408,924"
TOTAL-Insurance Fund,"408,924",0,"408,924"
TOTAL - ALL FUNDS,"625,982,749","-49,404,361","576,578,388"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Adjust Funding to Reflect Increased Costs,,,"3,178,556"
,"Reflects increased costs in Other Expenses related to security service wage increases, Professional Services due to increased translation and medical services",,
"costs, Workers’ Compensation Claims, Nursing Home Screening and Behavioral Health Medications accounts.",,,
• Provide Funding for Caseload and Annualization,,,"2,725,726"
Supports new caseload growth for behavioral health services for low-income adults and Money Follows the Person placements and provides full year funding,,,
for programs implemented partially through the year.,,,
,,,
B-48,,,
,,,
• Reduce Funding to Align with Available Resources,"-31,785,037",,
"Reflects a 10% private provider reduction in the following accounts: Housing Supports and Services, Managed Service System, Legal Services, General",,,
"Assistance Managed Care, Young Adult Services, TBI Community Services, Jail Diversion, Prison Overcrowding, Discharge and Diversion Services, Home and",,,
"Community Based Services, Persistent Violent Felony Offenders Act, Pre-Trial Account, Grants for Substance Abuse Services, Grants for Mental Health Services",,,
and Employment Opportunities.,,,
